"Artist","Green","Blue","White","Black","Red"
"Kevin ""Kev"" Walker","","","","",""
"Pete Venters","1","","","1",""
"Dan Scott","","","","",""
"Greg Staples","","","1","","1"
"Christopher Moeller","1","1","1","1","1"
"Ron Spencer","","","","1",""
"Carl Critchlow","","","","",""
"Svetlin Velinov","1","1","1","1","1"
"John Avon","1","1","1","1","1"
"Randy Gallegos","","1","","",""
"Mark Tedin","1","1","1","1","1"
"Steve Prescott","1","","","1","1"
"Daarken","","","","1",""
"Zoltan Boros","","","","",""
"Terese Nielsen","1","1","1","1","1"
"Heather Hudson","","","","","1"
"Matt Cavotta","","","","","1"
"Karl Kopinski","","","","","1"
"Raymond Swanland","","","","",""
"Daren Bader","","1","1","",""
"Greg Hildebrandt","","","","",""
"Chris Rahn","","","1","","1"
"Dan Frazier","","","","1",""
"Wayne Reynolds","","","","1","1"
"Izzy ""Izzy"" Medrano","","","","",""
"Nils Hamm","","1","1","","1"
"Rebecca Guay","1","1","1","1","1"
"Mark Zug","","","","1","1"
"Rob Alexander","1","1","1","1","1"
"Scott M. Fischer","","","","",""
"Volkan Baga","","","","",""
"Steven Belledin","1","1","1","1","1"
"Slawomir Maniak","","","","1",""
"Alan Pollack","1","1","1","1",""
"Igor Kieryluk","","","","",""
"Jesper Ejsing","1","1","1","1","1"
"Matt Stewart","1","","","",""
"Jim Nelson","1","","","1",""
"Adam Rex","","","","",""
"Dave Kendall","","","1","","1"
"Brian Snøddy","","","","",""
"Paolo Parente","","","","",""
"Edward P. Beard Jr.","","","","",""
"Christopher Rush","1","","1","",""
"Douglas Shuler","1","1","1","1","1"
"Adam Paquette","1","1","1","1","1"
"Randy ""rk"" Post","","","","",""
"Chippy","1","1","1","1",""
"Gabor Szikszai","","","","",""
"Winona Nelson","","","","",""
"Anthony S. Waters","1","1","1","1","1"
"Anson Maddocks","","1","","",""
"Mark Poole","1","1","1","1","1"
"Wayne England","","","","",""
"Jeff Miracola","","","","","1"
"Thomas M. Baxa","","","","",""
"Donato Giancola","1","1","1","1","1"
"Franz Vohwinkel","","","","","1"
"Tim Hildebrandt","","","","",""
"John Matson","1","","","",""
"Alex Horley-Orlandelli","","","","1",""
"Daniel Ljunggren","","","1","",""
"Jaime Jones","","","","",""
"James Paick","1","1","1","1","1"
"Jason Felix","","","","",""
"Dave Dorman","","","","",""
"Johann Bodin","","","","",""
"Magali Villeneuve","1","1","1","1","1"
"Darrell Riche","1","1","","","1"
"Seb McKinnon","1","1","1","1","1"
"Howard Lyon","","","1","",""
"Noah Bradley","1","1","1","1","1"
"Tony DiTerlizzi","","","","",""
"Yeong-Hao Han","1","1","1","1","1"
"D. Alexander Gregory","","","","","1"
"James Ryman","","","","",""
"Arnie Swekel","","","","1",""
"Steve Argyle","","","","",""
"Lars Grant-West","1","","1","1",""
"Titus Lunter","1","1","1","1","1"
"Aleksi Briclot","1","","","1","1"
"Anthony Palumbo","","","","",""
"David Martin","1","","1","",""
"Michael Sutfin","","","","",""
"Zack Stella","","","","",""
"Clint Cearley","","","1","1",""
"David Palumbo","","","","",""
"Aaron Miller","","","","",""
"Tony Szczudlo","1","1","","1","1"
"Glen Angus","1","","","","1"
"Jason Chan","","","","",""
"Ryan Pancoast","1","","1","",""
"Eric Peterson","","1","1","","1"
"Jim Murray","","","","",""
"Quinton Hoover","1","","","",""
"Todd Lockwood","","","","",""
"Mike Bierek","","","","1",""
"Ben Thompson","","1","1","",""
"Tom Wänerstrand","","","1","","1"
"Vincent Proce","1","1","1","1","1"
"Jason A. Engle","","","","",""
"Tyler Jacobson","","","","",""
"Justin Sweet","","","1","",""
"Warren Mahy","","1","1","1","1"
"Chase Stone","1","","","","1"
"Kaja Foglio","","","","",""
"Luca Zontini","","","","",""
"Tomasz Jedruszek","1","","","","1"
"Amy Weber","","","","",""
"Daniel Gelon","","","","",""
"Melissa A. Benson","","","","",""
"Richard Kane Ferguson","","","","",""
"Victor Adame Minguez","","","","1","1"
"Johannes Voss","1","1","1","1","1"
